,Ticker,Name,Market,Panel,Sector,Sub-Sector,Comment,Name(EN),Company Code(12),Ticker(4),Ticker(5),Ticker(12),Sector Code,Sub-Sector Code,Panel Code,Idx
399,بگیلان,توسعه مسیر برق گیلان,فرابورس,بازار دوم فرابورس,عرضه برق، گاز، بخاروآب گرم,تولید انتقال و توزیع نیروی برق,-,Gilan Elec. Dev.,IRO3GEDZ0002,GEDZ,GEDZ1,IRO3GEDZ0001,40,4010,3,1400
400,بمپنا,تولید برق عسلویه مپنا,فرابورس,بازار دوم فرابورس,عرضه برق، گاز، بخاروآب گرم,تولید انتقال و توزیع نیروی برق,-,Bargh Mapna Co.,IRO3BMAZ0000,BMAZ,BMAZ1,IRO3BMAZ0001,40,4010,3,1401
401,بنو,بیمه تجارت نو,فرابورس,بازار دوم فرابورس,بیمه وصندوق بازنشستگی به جزتامین اجتماعی,فعالیتهای مالی و اجرائی,-,Tejarat-No Ins.,IRO3TNIZ0001,TNIZ,TNIZ1,IRO3TNIZ0001,66,6611,3,1402
402,بهپاک,صنعتی بهپاک,فرابورس,بازار دوم فرابورس,محصولات غذایی و آشامیدنی به جز قند و شکر,تولید روغن های حیوانی و نباتی,-,Behpak Co.,IRO3BHPZ0000,BHPZ,BHPZ1,IRO3BHPZ0001,42,4214,3,1403
403,پارتا,مجتمع صنعتی آرتاویل تایر,فرابورس,بازار دوم فرابورس,لاستیک و پلاستیک,تولید تایر و بازسازی تایرهای لاستیکی,-,Artavil Tire,IRO3ARTZ0005,ARTZ,ARTZ1,IRO3ARTZ0001,25,2511,3,1404
404,پخش,پخش البرز,فرابورس,بازار دوم فرابورس,مواد و محصولات دارویی,تولید سایر محصولات دارویی,-,Pakhsh Alborz,IRO3PKSH0008,PKSH,PKSH1,IRO3PKSH0001,43,4399,3,1405
405,پیزد,مجتمع صنایع لاستیک یزد,فرابورس,بازار دوم فرابورس,لاستیک و پلاستیک,تولید تایر و بازسازی تایرهای لاستیکی,-,Yazd Tire,IRO3YZTZ0007,YZTZ,YZTZ1,IRO3YZTZ0001,25,2511,3,1406
406,تاپکیش,تجارت الکترونیک پارسیان کیش,فرابورس,بازار اول فرابورس,رایانه و فعالیت های وابسته به آن,سایر فعالیت های رایانه ای,-,Kish Parsian E-COM,IRO3KPEZ0002,KPEZ,KPEZ1,IRO3KPEZ0001,72,7200,1,1407
407,تبرک,گروه کارخانجات صنعتی تبرک,فرابورس,بازار دوم فرابورس,محصولات غذایی و آشامیدنی به جز قند و شکر,تولید سایر محصولات غذایی,-,Tabarok Ind. Group,IRO3TIGZ0000,TIGZ,TIGZ1,IRO3TIGZ0001,42,4249,3,1408
408,تپسی,پیشگامان فن آوری و دانش آرامیس,فرابورس,بازار دوم فرابورس,رایانه و فعالیت های وابسته به آن,مشاوره و تهیه نرم افزار,-,Tapsi,IRO3TASZ0004,TASZ,TASZ1,IRO3TASZ0001,72,7220,3,1409
409,تجلی,تجلی توسعه معادن و فلزات,فرابورس,بازار دوم فرابورس,استخراج کانه های فلزی,استخراج سایر کانه های فلزی,-,TajaliMines&Metals,IRO3TMMZ0006,TMMZ,TMMZ1,IRO3TMMZ0001,13,1399,3,1410
410,تلیسه,دامداری تلیسه نمونه,فرابورس,بازار اول فرابورس,زراعت و خدمات وابسته,کشاورزی و خدمات دامپروری جز دامپزشکی,-,Talise Company,IRO3TLIZ0003,TLIZ,TLIZ1,IRO3TLIZ0001,1,140,1,1411
411,تماوند,تامین سرمایه دماوند,فرابورس,بازار دوم فرابورس,فعالیتهای کمکی به نهادهای مالی واسط,بجز تامین وجوه بیمه و بازنشستگی,-,Damavand Inv. Bank,IRO3DIBZ0003,DIBZ,DIBZ1,IRO3DIBZ0001,67,6719,3,1412
412,توریل,توکاریل,فرابورس,بازار دوم فرابورس,حمل ونقل، انبارداری و ارتباطات,حمل و نقل از طریق خطوط راه آهن,-,Toucaril Co.,IRO3TORZ0009,TORZ,TORZ1,IRO3TORZ0001,60,6010,3,1413
